Turbiedad UTN,0.84,0.66,1.69,0.65,0.32,0.38,1.05,4.38,0.65,1.56,1.43,1.02,0.46,0.58,1.05,2.03,2.07,2.95,NA,2.15,0.86,0.62,1.03,1.67,0.39,1.08,2.44,3.72,1.64,0.80,1.03,0.75,0.36,2.76,4.45,1.55,1.34,1.94,1.10,0.93,1.30,2.35,2.14,0.77,0.67,1.32,4.03,1.75,1.50,2.21,0.89,0.29,0.44,0.69,2.38,1.14,1.02,1.44,1.59,1.10,0.57,0.90,1.19,1.06,0.82
Color,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50,2.50,2.50,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,2.50,2.50,2.50
Sabor,caracteristico,caracteristico,caracteristico,caracteristico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olor,ausente,inodoro,ausente,ausente,inodoro,inodoro,inodoro,ausente,ausente,agradable,agradable,ausente,ausente,ausente,ausente,ausente,ausente,ausente,NA,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente,ausente
Conductividad (micro s/cm),531.00,502.00,48.00,41.90,71.60,52.20,49.90,50.10,47.10,48.70,45.60,51.50,51.00,52.90,38.90,43.00,50.30,50.10,48.00,46.20,40.60,50.90,42.60,54.70,53.60,50.90,49.00,59.00,145.90,59.50,44.50,58.70,59.30,63.30,40.10,53.20,58.60,60.30,52.00,56.40,56.80,57.00,52.80,55.00,58.30,61.40,50.80,54.20,58.50,64.70,49.80,56.10,59.00,59.00,51.80,52.30,58.70,59.60,51.20,53.00,56.60,61.10,52.80,55.30,55.20
Solidos suspendidos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidos disueltos Totales (SDT),24.30,26.10,23.10,21.60,35.60,29.50,24.90,21.90,23.80,25.20,22.40,25.30,30.80,31.10,23.70,25.60,29.70,30.80,28.80,27.70,24.30,30.70,25.60,33.00,32.10,30.70,14.00,19.00,71.00,29.00,22.00,29.00,29.00,31.00,23.00,26.00,29.00,30.00,25.00,28.00,28.00,28.00,26.00,27.00,29.00,30.00,25.00,27.00,29.00,32.00,24.00,27.00,29.00,29.00,25.00,36.00,29.00,29.00,25.00,26.00,28.00,30.00,26.00,27.00,27.00
Acidez total (como CaCO3),6.00,5.00,0.94,6.98,2.04,3.43,3.95,1.91,4.31,28.62,3.72,4.12,3.76,4.62,3.84,5.95,7.20,4.85,9.89,14.95,9.64,10.86,10.60,10.15,23.62,11.54,7.76,25.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.50,10.50,12.50,9.00,6.80
Alcalinidad total (como CaCO3),7.00,30.00,5.70,11.40,25.88,29.15,24.99,17.24,23.76,5.52,20.66,28.44,25.65,28.42,18.89,22.99,25.40,25.12,21.22,20.70,21.71,25.87,20.27,29.50,28.76,26.20,23.36,29.85,26.50,32.37,22.22,30.15,29.25,29.60,22.44,29.83,28.35,27.63,23.25,25.05,22.41,29.80,38.90,31.05,25.60,26.50,23.30,27.05,22.80,23.10,21.40,26.90,27.40,29.30,20.20,25.75,37.55,31.50,27.10,23.40,37.50,36.05,30.60,37.70,23.95
Cloruros (como ClNA),4.85,3.80,2.34,2.87,2.29,3.43,1.83,1.47,0.00,0.47,0.48,0.48,0.46,N/D,0.40,0.74,0.74,0.73,0.41,1.50,0.36,0.60,0.71,0.83,0.32,2.18,0.58,1.02,1.05,2.27,3.56,2.11,2.57,5.11,1.07,1.84,0.50,2.85,1.62,5.09,3.47,3.97,3.82,5.16,3.62,5.63,2.11,4.39,4.07,4.42,4.99,3.47,3.82,2.88,3.77,4.14,3.08,2.28,5.63,2.03,2.93,3.08,3.82,3.25,2.63
Dureza total (como CaCO3),21.50,18.99,15.62,42.96,89.73,43.50,16.01,20.29,38.91,54.83,19.58,29.69,24.86,20.78,15.71,20.66,24.99,24.92,20.82,20.19,18.18,22.85,18.58,27.71,24.55,26.23,14.21,25.60,19.29,19.07,21.04,46.18,80.00,26.11,20.73,22.90,28.19,24.13,19.85,20.48,24.38,17.81,24.52,24.78,30.22,30.01,28.62,NA,34.35,19.80,33.30,24.55,17.32,12.79,24.60,20.24,25.30,25.25,26.06,24.39,38.46,37.45,37.45,23.06,23.06
Nitratos (como NNANO3),2.14,1.05,0.54,5.17,0.44,0.22,0.75,0.51,0.46,0.43,0.36,0.28,0.20,0.29,0.42,0.44,0.06,0.25,0.48,0.41,1.81,0.37,0.54,0.21,0.46,0.20,0.39,0.27,0.12,0.38,0.33,1.16,0.60,1.05,0.77,0.77,0.30,0.60,0.28,0.42,1.90,0.22,0.76,0.79,0.29,0.32,0.53,0.47,0.69,0.62,0.69,0.33,0.26,0.16,0.66,0.13,0.39,0.51,0.57,0.22,1.43,NA,0.60,0.39,0.89
Nitritos (como NNANO2),0.02,0.02,N/D,N/D,N/D,N/D,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,NA,NA,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.07,0.05,0.24,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.00,0.01,0.02,0.00,0.01,0.01,0.01,0.00
Nitrógeno amoniacal (NNANH3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fósforo total (comoPO4),NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,N/D,N/D,0.16,0.16,0.21,0.26,0.18,0.19,0.22,0.17,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.08,0.11,0.11,0.02,0.00
Sulfatos (SO4),1.82,0.83,0.76,0.66,ND,1.07,1.01,0.57,4.17,5.27,5.53,4.09,2.08,2.09,0.98,2.27,2.37,3.34,5.95,3.01,5.07,4.21,6.47,4.20,3.79,1.89,5.09,5.09,5.71,5.38,5.54,5.50,6.67,6.21,6.72,6.26,5.62,7.88,5.95,5.79,5.63,27.65,43.89,20.21,16.72,14.99,22.29,21.49,19.33,2.74,8.49,5.41,8.32,1.74,10.52,7.93,9.44,3.44,3.24,3.46,6.58,4.15,3.04,5.69,2.83
Fluor (como FNA),1.14,0.94,0.62,0.49,1.00,0.25,0.30,0.21,0.15,0.12,0.12,0.47,0.40,0.40,0.35,0.39,0.15,0.22,0.31,0.15,0.27,0.26,0.03,0.03,0.25,0.29,0.27,0.27,0.47,0.28,0.24,0.25,0.26,0.37,0.27,0.23,NA,NA,0.42,0.58,0.26,0.51,0.52,0.05,0.21,0.47,0.49,0.29,0.47,0.32,0.56,0.78,0.47,0.53,0.30,0.52,0.25,0.30,0.37,0.43,0.54,0.66,0.68,0.64,0.66
Sustancias activas al Azul de metileno (Detergentes),0.00,0.00,NA,N/D,NA,NA,NA,0.01,0.05,0.15,NA,0.60,0.41,0.37,0.28,NA,0.12,0.13,0.12,0.26,0.12,0.14,0.10,0.15,NA,NA,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.12,0.10,0.10,NA,NA,0.13,0.15,0.14,0.14,0.16,0.14,0.07,0.15,0.13,0.13,0.13,0.09,0.09,0.12,8.32,0.13,0.11,0.11,0.52,0.36,NA,0.28,NA,NA,NA,0.29,NA
Fenol como compuestos fenólicos,NA,NA,0.01,N/D,0.00,NA,NA,0.09,0.03,NA,0.03,N/D,0.02,0.02,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.05,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.03,0.30,0.03,0.03
Cadmio,NA,NA,N/D,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.03,NA,NA,N/D,0.01,N/D,N/D,N/D,N/D,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,0.00
Aluminio,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plomo,NA,NA,N/D,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,0.10,N/D,N/D,N/D,N/D,0.01,0.01,N/D,N/D,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.01
Cianuro ,N/D,N/D,N/D,N/D,N/D,N/D,NA,NA,NA,NA,NA,N/D,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA
Cobre ,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.02,0.02,0.02,0.06,0.04,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.02
Cromo ,N/D,N/D,N/D,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,0.05,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.05,0.01,0.01,0.03,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,0.01,0.01,0.01,0.02,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.04,0.02,0.01
Arsénico ,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,N/D,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
 Manganeso,N/D,N/D,N/D,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.02,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,NA,NA
Zinc,NA,NA,NA,0.18,0.19,0.19,NA,NA,NA,NA,NA,0.21,1.17,0.16,0.24,0.10,0.41,0.37,0.16,NA,NA,NA,0.05,0.06,0.05,0.24,0.10,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.05,0.06,0.05,0.09,0.10,0.05,0.04,0.06,0.08,0.06,0.06,0.05,0.16,0.07,0.23,NA,NA,0.06,0.05,0.06,0.05,0.09,NA
Fierro,N/D,N/D,N/D,N/D,N/D,N/D,NA,NA,NA,NA,NA,N/D,0.05,0.05,0.05,0.03,0.03,0.02,0.06,0.07,0.08,0.04,0.06,0.04,0.04,0.04,0.05,0.06,0.04,0.04,0.05,0.05,0.05,0.07,0.08,0.06,0.06,0.07,0.07,0.05,0.06,0.08,0.16,0.05,0.04,0.05,0.08,0.07,0.05,0.07,0.08,0.05,0.05,0.06,0.06,0.04,0.14,0.09,0.11,0.09,0.20,0.02,0.06,0.14,0.02
Coliformes totales,0.00,0.00,0.00,21.00,23.00,15.00,460.00,93.00,20.00,20.00,20.00,4.00,210.00,9.00,150.00,20.00,15.00,28.00,150.00,21.00,9.00,28.00,15.00,15.00,93.00,21.00,21.00,93.00,43.00,1100.00,210.00,43.00,43.00,2400.00,460.00,93.00,23.00,460.00,1100.00,23.00,150.00,23.00,150.00,93.00,460.00,11.00,21.00,43.00,460.00,2400.00,21.00,9.00,15.00,11.00,20.00,460.00,43.00,44.00,33.00,7.00,93.00,1100.00,460.00,16.00,240.00
Coliformes Fecales,0.00,7.00,0.00,4.00,23.00,4.00,15.00,9.00,4.00,0.00,7.00,4.00,7.00,9.00,150.00,11.00,7.00,20.00,23.00,21.00,9.00,20.00,15.00,4.00,21.00,15.00,21.00,93.00,4.00,4.00,93.00,93.00,4.00,460.00,93.00,9.00,9.00,93.00,93.00,23.00,4.00,23.00,0.00,93.00,39.00,11.00,21.00,43.00,6.00,8.00,6.00,9.00,15.00,11.00,11.00,28.00,43.00,39.00,33.00,3.00,93.00,33.00,30.00,3.00,240.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
